start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T15:20:04.117321+02:00,2026-04-08T15:21:20.981802+02:00,76,1.27,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:22:30.241969+02:00,2026-04-08T15:22:31.879095+02:00,1,0.02,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:22:32.224076+02:00,2026-04-08T15:22:51.213218+02:00,18,0.3,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:22:51.334657+02:00,2026-04-08T15:22:56.029655+02:00,4,0.07,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:23:53.913381+02:00,2026-04-08T15:24:01.298738+02:00,7,0.12,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:26:03.688325+02:00,2026-04-08T15:30:16.912887+02:00,253,4.22,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:30:56.705562+02:00,2026-04-08T15:31:06.512448+02:00,9,0.15,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:32:22.494845+02:00,2026-04-08T15:33:39.635698+02:00,77,1.28,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:33:39.635698+02:00,2026-04-08T15:34:24.877129+02:00,45,0.75,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:40:34.438491+02:00,2026-04-08T15:40:46.966996+02:00,12,0.2,com.apple.findmy,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:43:46.949452+02:00,2026-04-08T15:44:44.532794+02:00,57,0.95,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:48:57.858154+02:00,2026-04-08T15:49:28.901252+02:00,31,0.52,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T15:51:17.598182+02:00,2026-04-08T15:57:50.112233+02:00,392,6.53,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
